catalog_id,title,published_title,url,year,acta_number,section,part,publication_date,publication_date_raw,source_type,source_page_url,listing_status,first_seen_at,last_seen_at,page_occurrences,alternate_urls
2020-semnnimb-01-completa,Acta No 01 de 2020 SEMNNIMB,Acta No 01 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-no-01-de-2020-semnnimbpdf,2020,01,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-02-completa,Acta No 02 de 2020 SEMNNIMB,Acta No 02 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90289,2020,02,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-03-completa,Acta No 03 de 2020 SEMNNIMB,Acta No 03 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123532,2020,03,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-04-completa,Acta No 04 de 2020 SEMNNIMB,Acta No 04 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124545,2020,04,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-05-primera-parte,Acta No 05 de 2020 SEMNNIMB Primera Parte,Acta No 05 de 2020 SEMNNIMB Primera Parte,https://www.invima.gov.co/biblioteca/download/122481,2020,05,SEMNNIMB,Primera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-05-segunda-parte,Acta No 05 de 2020 SEMNNIMB Segunda Parte,Acta No 05 de 2020 SEMNNIMB Segunda Parte,https://www.invima.gov.co/biblioteca/acta-05-2020-sala-especializada-moleculas-nuevas,2020,05,SEMNNIMB,Segunda Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-06-completa,Acta No 06 de 2020 SEMNNIMB,Acta No 06 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124419,2020,06,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-07-completa,Acta No 07 de 2020 SEMNNIMB,Acta No 07 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123061,2020,07,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-08-completa,Acta No 08 de 2020 SEMNNIMB,Acta No 08 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-08-2020-sala-especializada-moleculas-nuevas,2020,08,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-09-completa,Acta No 09 de 2020 SEMNNIMB,Acta No 09 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90296,2020,09,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-10-completa,Acta No 10 de 2020 SEMNNIMB,Acta No 10 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90274,2020,10,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-11-completa,Acta No 11 de 2020 SEMNNIMB,Acta No 11 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-11-2020-sala-especializada-moleculas-nuevas,2020,11,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-12-completa,Acta No 12 de 2020 SEMNNIMB,Acta No 12 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123714,2020,12,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-13-completa,Acta No 13 de 2020 SEMNNIMB,Acta No 13 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123233,2020,13,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-14-completa,Acta No 14 de 2020 SEMNNIMB,Acta No 14 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124631,2020,14,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-15-completa,Acta No 15 de 2020 SEMNNIMB,Acta No 15 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-15-2020-sala-especializada-moleculas-nuevas,2020,15,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-16-completa,Acta No 16 de 2020 SEMNNIMB,Acta No 16 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-16-2020-sala-especializada-moleculas-nuevas,2020,16,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
