title,url,year,acta_number,section,part,source_type,publication_date,source_page_url,catalog_id,listing_status
Acta No 01 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2001_20de_202013.pdf,2013,01,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-01-completa,listed
Acta No 02 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2002_20de_202013.pdf,2013,02,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-02-completa,listed
Acta No 03 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2003_20de_202013.pdf,2013,03,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-03-completa,listed
Acta No 04 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2004_20de_202013.pdf,2013,04,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-04-completa,listed
Acta No 05 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2005_20de_202013.pdf,2013,05,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-05-completa,listed
Acta No 06 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2006_20de_202013_20SEMPB.pdf,2013,06,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-06-completa,listed
Acta No 07 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2007_20de_202013_20SEMPB.pdf,2013,07,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-07-completa,listed
Acta No 08 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2008_20de_202013_20SEMPB.pdf,2013,08,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-08-completa,listed
Acta No 09 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2009_20de_202013_20SEMPB.pdf,2013,09,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-09-completa,listed
Acta No 10 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2010_20de_202013_20SEMPB.pdf,2013,10,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-10-completa,listed
Acta No 11 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2011_20de_202013_20SEMPB.pdf,2013,11,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-11-completa,listed
Acta No 12 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2012_20de_202013_20SEMPB_20para_20publicar.pdf,2013,12,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-12-completa,listed
Acta No 13 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2013_20de_202013_20SEMPB_20para_20publicar.pdf,2013,13,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-13-completa,listed
Acta No 14 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2014_20de_202013_20SEMPB_20para_20publicar.pdf,2013,14,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-14-completa,listed
Acta No 15 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2015_20de_202013_20SEMPB_20para_20publicar.pdf,2013,15,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-15-completa,listed
Acta No 16 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2016_20de_202013_20SEMPB_20para_20publicar.pdf,2013,16,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-16-completa,listed
Acta No 17 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2017_20de_202013_20REVISADA.pdf,2013,17,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-17-completa,listed
Acta No 18 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2018_20de_202013_20REVISADA.pdf,2013,18,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-18-completa,listed
Acta No 19 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2019_20de_202013_20SEMPB_20REVISADA.pdf,2013,19,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-19-completa,listed
Acta No 20 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2020_20de_202013_20SEMPB_20REVISADA.pdf,2013,20,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-20-completa,listed
Acta No 21 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2021_20de_202013_20SEMPB_20REVISADA.pdf,2013,21,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-21-completa,listed
Acta No 22 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2022_20de_202013_20SEMPB_20REVISADA.pdf,2013,22,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-22-completa,listed
Acta No 23 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2023_20de_202013_20SEMPB_20REVISADA.pdf,2013,23,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-23-completa,listed
Acta No 24 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2024_20de_202013_20SEMPB_20REVISADA.pdf,2013,24,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-24-completa,listed
Acta No 25 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2025_20de_202013_20SEMPB_20REVISADA.pdf,2013,25,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-25-completa,listed
Acta No 26 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2026_20de_202013_20SEMPB_20REVISADA_20SeulCami.pdf,2013,26,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-26-completa,listed
Acta No 27 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2027_20de_202013_20SEMPB_20REVISADA.pdf,2013,27,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-27-completa,listed
Acta No 28 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2028_20de_202013_20SEMPB_20REVISADA.pdf,2013,28,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-28-completa,listed
Acta No 29 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2029_20de_202013_20SEMPB.pdf,2013,29,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-29-completa,listed
Acta No 30 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2030_20de_202013_20SEMPB.pdf,2013,30,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-30-completa,listed
Acta No 31 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2031_20de_202013_20SEMPB.pdf,2013,31,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-31-completa,listed
Acta No 32 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2032_20de_202013_20SEMPB.pdf,2013,32,SEMPB,,official,2013-07-09,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-32-completa,listed
